Name,Location,Hometype,Max_guest,Home_summary,Price,Amenities,Reviewnumber,Reviewstar
"Dormitory, Oasis guesthouse Hongdae Seoul",Yongsan-gu,SHARED ROOM IN HOUSE,6 guests,"['1 bedroom', '6 beds', '1 bath']",$12 per night,"['Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Cable TV', 'Hangers']",179,Rating 5 out of 5
BalconyHouse 54 :),??????????,ENTIRE APARTMENT,2 guests,"['1 bedroom', '1 bed', '1 bath']",$42 per night,"['Elevator', 'Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Cable TV']",62,Rating 4.5 out of 5
Dwyane's luxury house,"Gongdeok-dong, Mapo-gu",ENTIRE APARTMENT,8 guests,"['3 bedrooms', '3 beds', '2 baths']",$169 per night,"['Elevator', 'Gym', 'Hot tub', 'Kitchen', 'Wifi', 'Essentials']",163,Rating 4.5 out of 5
The ROY's House #1 (free egg / 45min from airport),Jongno-gu,ENTIRE APARTMENT,4 guests,"['1 bedroom', '2 beds', '1 bath']",$55 per night,"['Free parking on premises', 'Elevator', 'Kitchen', 'Wifi', 'Iron', 'Hair dryer']",139,Rating 4.5 out of 5
"BLUE HOUSE VIEW: 1min ""Insadong"" Top Notch, Good!!",Mapo-gu,ENTIRE LOFT,6 guests,"['1 bedroom', '3 beds', '1 bath']",$45 per night,"['Elevator', 'Kitchen', 'Wifi', 'Dryer', 'Iron', 'Hair dryer']",45,Rating 5 out of 5
[Open sale] Cozy Duplex P8 @ Hongdae,Yongsan-gu,ENTIRE LOFT,8 guests,"['2 bedrooms', '6 beds', '1 bath']",$69 per night,"['Elevator', 'Kitchen', 'Wifi', 'Dryer', 'Iron', 'Hair dryer']",68,Rating 4.5 out of 5
#1#SkyView@SeoulStn+Wifi(12thFloor),Jung-gu,ENTIRE APARTMENT,5 guests,"['2 bedrooms', '2 beds', '1 bath']",$60 per night,"['Elevator', 'Kitchen', 'Wifi', 'Dryer', 'Iron', 'Hair dryer']",176,Rating 4.5 out of 5
OPEN SALE! ^MYEONG-DONG STUDIO^ FREE EGG WIFI COZY,Mapo-gu,ENTIRE APARTMENT,6 guests,"['Studio', '3 beds', '1 bath']",$43 per night,"['Elevator', 'Indoor fireplace', 'Kitchen', 'Wifi', 'Dryer', 'Iron']",43,Rating 4.5 out of 5
Hongdae antique house. 3mins from AREX station.,Mapo-gu,ENTIRE APARTMENT,5 guests,"['3 bedrooms', '4 beds', '1 bath']",$79 per night,"['Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Cable TV', 'Hangers']",59,Rating 5 out of 5
Hong ik univ. 'Maxmini-um' designed by Architect,Jung-gu,ENTIRE HOUSE,2 guests,"['1 bedroom', '1 bed', '1 bath']",$44 per night,"['Kitchen', 'Wifi', 'Breakfast', 'Iron', 'Hair dryer', 'Cable TV']",64,Rating 4.5 out of 5
